"stop_sequence","trip_id","stop_lat","stop_lon","stop_id","stop_name"
1,"464099714831",41.691916,-87.527104,"12252","Avenue C & 112th Street"
1,"464099715242",41.769108,-87.625271,"8629","69th Street & State (Red Line)"
1,"464099715512",41.722670,-87.624925,"14006","95th Red Line Station"
1,"464099715623",41.896838,-87.621709,"597","Chicago & Mies Van Der Rohe"
1,"464099715630",41.881976,-87.641267,"5024","Clinton & Madison"
1,"464099715631",41.708498,-87.581471,"14155","103rd Street & Stony Island Garage Terminal"
1,"464099716424",41.685588,-87.611500,"2841","Cottage Grove & 115th Street"
1,"464099716740",41.721948,-87.624010,"14008","95th Red Line Station"
1,"464099716744",41.879100,-87.637000,"81","Wacker & Adams"
1,"464099716770",41.656279,-87.590977,"16030","Carver High School"
1,"464099716950",41.708498,-87.581471,"14155","103rd Street & Stony Island Garage Terminal"
1,"464099716970",41.888090,-87.620844,"14222","Wacker (Upper) & Columbus"
1,"464099717003",41.722670,-87.624925,"14006","95th Red Line Station"
1,"464099717060",41.722738,-87.624122,"14001","95th Red Line Station"
1,"464099717131",41.722454,-87.624035,"14004","95th Red Line Station"
1,"464099717418",41.722669,-87.624764,"14003","95th Red Line Station"
1,"464099717428",41.722669,-87.624764,"14003","95th Red Line Station"
1,"464099717477",41.656279,-87.590977,"16030","Carver High School"
1,"464099717506",41.680392,-87.662557,"17736","Marshfield & 117th Street"
1,"464099717513",41.680392,-87.662557,"17736","Marshfield & 117th Street"
1,"464099717544",41.677549,-87.679903,"14180","Western & 119th Street Terminal"
1,"464099717739",41.692901,-87.559736,"6982","Torrence & 112th Street Terminal"
1,"464099718105",41.785922,-87.597722,"14020","60th Street & University"
1,"464099718107",41.787761,-87.603617,"14023","59th Street & Drexel"
1,"464099718157",41.802566,-87.585707,"1523","E Hyde Park & East End"
1,"464099782835",41.761487,-87.555710,"10851","75th Street & Lake Front Terminal"
1,"464099783516",41.786322,-87.738924,"14116","Midway Orange Line Station"
1,"464099783522",41.774399,-87.771271,"4568","Austin & 65th Street"
1,"464099783755",41.786432,-87.738851,"14120","Midway Orange Line Station"
1,"464099784008",41.759391,-87.673239,"10906","74th Street & Damen"
1,"464099784749",41.786229,-87.739003,"14122","Midway Orange Line Station"
1,"464099784776",41.776958,-87.814554,"15926","63rd Street & Archer Terminal"
1,"464099784818",41.786428,-87.738444,"8759","Midway Orange Line Station"
1,"464099784833",41.776958,-87.814554,"15926","63rd Street & Archer Terminal"
1,"464099784842",41.786552,-87.739244,"14121","Midway Orange Line Station"
1,"464099784879",41.779787,-87.586551,"3205","Stony Island & 63rd/64th"
1,"464099784980",41.804960,-87.684005,"14132","Western Orange Line Station"
1,"464099785322",41.722454,-87.624035,"14004","95th Red Line Station"
1,"464099785887",41.978517,-87.689521,"14182","Western & Berwyn Terminal"
1,"464099785914",41.978517,-87.689521,"14182","Western & Berwyn Terminal"
1,"464099785988",41.720590,-87.662980,"6131","Ashland & 95th Street Terminal"
1,"464099786431",41.755328,-87.738891,"10367","Ford City Shopping Center"
1,"464099857779",41.684123,-87.717333,"10066","115th Street & Springfield Terminal"
1,"51097731058",42.073153,-87.690730,"30204","Linden"
1,"51097731189",42.019063,-87.672892,"30175","Howard"
1,"51097732277",41.874257,-87.817318,"30076","Forest Park"
1,"51097733721",41.967901,-87.713065,"30250","Kimball"
1,"51097737245",41.778860,-87.663766,"30056","Ashland/63rd"
