"agency_id","route_color","route_id","route_long_name","route_short_name","route_text_color","route_type","route_url","trip_id","shape_id"
"CTA","","156","LaSalle","156","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=292","464099551909","4646425"
"CTA","","39","Pershing","39","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=193","464099552015","4647556"
"CTA","","121","Union/Wacker Express","121","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=272","464099552231","4646365"
"CTA","","120","Ogilvie/Wacker Express","120","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=271","464099552515","4646361"
"CTA","","125","Water Tower Express","125","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=276","464099552571","4642863"
"CTA","","134","Stockton/LaSalle Express","134","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=280","464099552574","4644509"
"CTA","","126","Jackson","126","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=277","464099553670","4645859"
"CTA","","21","Cermak","21","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=180","464099553802","4644555"
"CTA","","60","Blue Island/26th","60","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=221","464099553979","4641351"
"CTA","","52","Kedzie/California","52","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=204","464099554181","4646650"
"CTA","","10","Museum of S & I","10","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=171","464099554455","4643721"
"CTA","","35","35th","35","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=190","464099554586","4647103"
"CTA","","124","Navy Pier","124","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=275","464099554691","4645856"
"CTA","","82","Kimball-Homan","82","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=246","464099555004","4645069"
"CTA","","30","South Chicago","30","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=187","464099714454","4645534"
"CTA","","100","Jeffery Manor Express","100","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=264","464099714831","4640701"
"CTA","","169","69th-UPS Express","169","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=296","464099715242","4647005"
"CTA","","103","West 103rd","103","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=265","464099715512","4640712"
"CTA","","26","South Shore Express","26","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=183","464099715623","4644326"
"CTA","","192","University of Chicago Hosp. Exp.","192","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=302","464099715630","4646980"
"CTA","","J14","Jeffery Jump","J14","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=174","464099715631","4644276"
"CTA","","111A","Pullman Shuttle","111A","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=347","464099716424","4647134"
"CTA","","112","Vincennes/111th","112","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=269","464099716740","4640749"
"CTA","","28","Stony Island","28","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=184","464099716744","4646643"
"CTA","","108","Halsted/95th","108","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=267","464099716770","4640727"
"CTA","","15","Jeffery Local","15","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=175","464099716950","4644288"
"CTA","","6","Jackson Park Express","6","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=165","464099716970","4647107"
