"agency_id","route_color","route_id","route_long_name","route_short_name","route_text_color","route_type","route_url","trip_id","shape_id"
"CTABus","","19","United Center Express","19","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=325","1902","19"
"CTABus","","22","Clark","22","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=181","463099473933","4637472"
"CTABus","","36","Broadway","36","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=191","463099474083","4635902"
"CTABus","","12","Roosevelt","12","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=173","463099554304","4637471"
"CTABus","","18","16th-18th","18","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=177","463099555105","4633918"
"CTABus","","44","Wallace-Racine","44","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=195","463099784179","4637015"
"CTABus","","62","Archer","62","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=222","463099784373","4637109"
"CTABus","","151","Sheridan","151","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=289","464099199243","4646415"
"CTABus","","205","Chicago/Golf","205","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=305","464099442938","4646641"
"CTABus","","54A","North Cicero/Skokie Blvd.","54A","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=210","464099442942","4641275"
"CTABus","","81W","West Lawrence","81W","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=245","464099442945","4646547"
"CTABus","","88","Higgins","88","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=252","464099442953","4644672"
"CTABus","","85A","North Central","85A","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=249","464099443083","4645675"
"CTABus","","56","Milwaukee","56","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=217","464099443085","4641971"
"CTABus","","68","Northwest Highway","68","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=230","464099443176","4643215"
"CTABus","","91","Austin","91","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=255","464099443183","4642946"
"CTABus","","X98","Avon Express","X98","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=263","464099443195","4646672"
"CTABus","","81","Lawrence","81","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=244","464099443369","4647869"
"CTABus","","84","Peterson","84","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=247","464099443401","4641681"
"CTABus","","92","Foster","92","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=256","464099443478","4647572"
"CTABus","","85","Central","85","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=248","464099443658","4647570"
"CTABus","","80","Irving Park","80","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=242","464099444173","4643084"
"CTABus","","78","Montrose","78","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=240","464099444199","4647743"
"CTABus","","152","Addison","152","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=290","464099444415","4643041"
"CTABus","","86","Narragansett/Ridgeland","86","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=250","464099444533","4643527"
"CTABus","","90","Harlem","90","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=253","464099444569","4642944"
"CTABus","","77","Belmont","77","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=239","464099444947","4647562"
"CTABus","","76","Diversey","76","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=238","464099445552","4644621"
"CTABus","","96","Lunt","96","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=261","464099471871","4642104"
"CTABus","","136","Sheridan/LaSalle Express","136","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=282","464099472506","4647385"
"CTABus","","97","Skokie","97","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=262","464099473149","4644369"
"CTABus","","135","Clarendon/LaSalle Express","135","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=281","464099473274","4647444"
"CTABus","","206","Evanston Circulator","206","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=306","464099473408","4643189"
"CTABus","","201","Central/Ridge","201","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=304","464099473425","4644318"
"CTABus","","11","Lincoln","11","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=172","464099473550","4647171"
"CTABus","","146","Inner Drive/Michigan Express","146","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=286","464099473569","4647451"
"CTABus","","49B","North Western","49B","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=200","464099473570","4644108"
"CTABus","","93","California/Dodge","93","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=257","464099473616","4641802"
"CTABus","","148","Clarendon Michigan Express","148","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=288","464099473650","4646402"
"CTABus","","147","Outer Drive Express","147","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=287","464099473783","4644525"
"CTABus","","155","Devon","155","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=291","464099474108","4640905"
"CTABus","","50","Damen","50","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=202","464099475062","4641197"
"CTABus","","54","Cicero","54","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=209","464099520507","4644590"
"CTABus","","54B","South Cicero","54B","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=211","464099520705","4644729"
"CTABus","","70","Division","70","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=232","464099521895","4642291"
"CTABus","","66","Chicago","66","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=228","464099522376","4646661"
"CTABus","","74","Fullerton","74","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=236","464099522798","4641535"
"CTABus","","132","Goose Island Express","132","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=279","464099523046","4646577"
"CTABus","","73","Armitage","73","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=235","464099523121","4642170"
"CTABus","","157","Streeterville/Taylor","157","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=293","464099523189","4647863"
"CTABus","","37","Sedgwick","37","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=335","464099523225","4647174"
"CTABus","","57","Laramie","57","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=219","464099523232","4641326"
"CTABus","","53","Pulaski","53","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=206","464099523273","4641232"
"CTABus","","65","Grand","65","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=227","464099523275","4646656"
"CTABus","","20","Madison","20","",3,"http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=178","464099523448","4642063"
